id_venda,id_cliente,id_produto,quantidade,data_venda,valor_total
94,9,2,1,2025-06-02,49.9
95,14,12,3,2025-04-22,479.7
96,20,17,1,2025-04-09,49.9
97,29,19,2,2025-03-07,199.8
99,30,18,2,2025-04-04,139.8
100,14,3,3,2025-06-09,119.7
101,11,4,3,2025-05-10,599.7
102,10,14,3,2025-04-14,74.7
103,23,10,5,2025-02-02,199.5
104,7,14,4,2025-06-23,99.6
105,24,6,5,2025-05-26,299.5
106,10,13,5,2025-01-01,74.5
107,10,10,2,2025-04-21,79.8
108,26,19,5,2025-06-17,499.5
109,11,15,4,2025-04-24,131.6
110,22,7,5,2025-05-02,374.5
111,26,6,1,2025-03-14,59.9
112,17,11,1,2025-03-02,129.9
113,22,10,2,2025-02-20,79.8
114,5,1,1,2025-03-04,89.9
116,29,19,2,2025-06-28,199.8
117,13,16,4,2025-03-04,179.6
118,5,1,1,2025-04-19,89.9
119,8,6,5,2025-04-29,299.5
121,15,5,4,2025-06-20,519.6
122,17,18,5,2025-03-23,349.5
123,25,15,5,2025-05-10,164.5
124,14,18,4,2025-02-10,279.6
125,24,16,4,2025-03-08,179.6
126,25,8,3,2025-05-14,89.7
128,3,10,2,2025-03-11,79.8
129,11,11,5,2025-01-21,649.5
130,5,5,2,2025-04-09,259.8
131,23,5,2,2025-01-17,259.8
132,14,14,3,2025-05-19,74.7
133,15,14,1,2025-02-22,24.9
134,27,14,4,2025-05-30,99.6
135,23,1,5,2025-04-08,449.5
137,25,13,4,2025-05-18,59.6
138,24,18,5,2025-02-26,349.5
141,22,13,2,2025-04-30,29.8
142,30,5,5,2025-05-17,649.5
143,1,13,5,2025-05-25,74.5
144,22,1,1,2025-06-14,89.9
145,14,5,4,2025-02-16,519.6
147,7,15,3,2025-03-28,98.7
149,9,3,4,2025-01-05,159.6
151,8,3,1,2025-01-08,39.9
152,8,7,1,2025-06-09,74.9
153,5,8,2,2025-05-02,59.8
154,22,4,5,2025-02-25,999.5
156,20,4,2,2025-03-21,399.8
157,4,19,1,2025-03-21,99.9
158,19,13,4,2025-02-20,59.6
159,3,19,2,2025-01-27,199.8
160,23,10,5,2025-01-31,199.5
161,26,19,1,2025-03-30,99.9
163,17,11,1,2025-04-18,129.9
164,27,16,1,2025-04-21,44.9
165,12,15,2,2025-04-22,65.8
166,6,17,3,2025-06-07,149.7
167,26,18,4,2025-04-30,279.6
168,14,19,3,2025-03-24,299.7
169,28,8,1,2025-03-13,29.9
170,29,15,2,2025-04-29,65.8
171,19,13,3,2025-01-08,44.7
173,7,12,3,2025-03-29,479.7
174,9,9,5,2025-01-03,449.5
175,17,7,1,2025-03-03,74.9
177,25,8,4,2025-06-15,119.6
178,23,16,4,2025-01-05,179.6
179,3,10,2,2025-04-14,79.8
181,19,12,4,2025-05-22,639.6
183,11,12,4,2025-03-11,639.6
184,10,9,2,2025-01-31,179.8
185,24,7,3,2025-01-31,224.7
186,24,18,2,2025-02-19,139.8
187,7,16,3,2025-05-31,134.7
188,25,17,5,2025-03-14,249.5
189,4,7,3,2025-02-28,224.7
190,12,6,3,2025-01-04,179.7
191,23,18,2,2025-03-12,139.8
193,23,5,4,2025-01-27,519.6
194,28,1,5,2025-03-14,449.5
196,6,2,3,2025-05-03,149.7
198,3,19,1,2025-02-08,99.9
199,5,19,3,2025-01-22,299.7
200,8,4,5,2025-04-17,999.5
201,20,8,5,2025-04-08,149.5
203,14,10,5,2025-06-08,199.5
205,7,9,1,2025-02-10,89.9
207,6,1,4,2025-04-26,359.6
208,23,16,3,2025-01-09,134.7
209,8,10,3,2025-06-29,119.7
210,28,15,1,2025-06-25,32.9
211,8,9,5,2025-06-19,449.5
212,26,7,4,2025-01-30,299.6
213,18,8,2,2025-03-10,59.8
214,27,5,1,2025-01-16,129.9
217,15,10,4,2025-03-11,159.6
218,17,18,4,2025-04-23,279.6
219,3,2,4,2025-03-24,199.6
220,20,9,1,2025-01-24,89.9
221,8,19,5,2025-01-06,499.5
222,25,9,5,2025-01-11,449.5
224,21,15,3,2025-02-16,98.7
225,19,14,4,2025-01-24,99.6
227,11,4,2,2025-03-26,399.8
228,14,16,3,2025-06-19,134.7
229,13,18,1,2025-04-27,69.9
231,4,13,5,2025-01-01,74.5
234,20,16,4,2025-01-14,179.6
235,7,9,5,2025-02-03,449.5
236,30,10,4,2025-06-28,159.6
238,20,8,2,2025-03-21,59.8
239,18,1,5,2025-04-15,449.5
240,3,8,1,2025-04-29,29.9
241,4,5,4,2025-03-16,519.6
242,17,9,4,2025-05-04,359.6
244,5,13,2,2025-06-03,29.8
245,17,5,1,2025-03-12,129.9
246,25,14,3,2025-05-10,74.7
247,9,1,3,2025-03-18,269.7
248,27,19,5,2025-06-18,499.5
252,30,11,2,2025-06-28,259.8
253,8,19,4,2025-03-01,399.6
255,24,16,4,2025-04-09,179.6
256,22,5,4,2025-01-10,519.6
258,28,4,4,2025-01-26,799.6
259,17,15,1,2025-02-06,32.9
260,14,5,1,2025-05-01,129.9
261,26,9,3,2025-06-09,269.7
264,21,16,5,2025-01-10,224.5
265,20,3,2,2025-06-11,79.8
266,22,10,2,2025-01-24,79.8
267,14,4,1,2025-04-24,199.9
268,6,10,1,2025-01-12,39.9
270,12,14,2,2025-03-04,49.8
271,17,14,5,2025-06-24,124.5
272,26,6,2,2025-02-14,119.8
274,8,16,5,2025-02-06,224.5
275,8,15,3,2025-04-28,98.7
276,9,1,4,2025-03-15,359.6
277,22,18,2,2025-01-19,139.8
278,15,12,5,2025-03-18,799.5
279,21,14,3,2025-04-27,74.7
280,28,10,2,2025-04-09,79.8
281,28,16,1,2025-03-02,44.9
283,10,10,1,2025-06-18,39.9
284,13,9,1,2025-05-25,89.9
286,27,10,2,2025-06-05,79.8
287,26,12,2,2025-06-12,319.8
288,7,9,2,2025-06-10,179.8
289,4,2,3,2025-04-23,149.7
291,3,10,3,2025-04-17,119.7
292,6,7,2,2025-05-19,149.8
293,29,12,5,2025-05-09,799.5
294,30,9,2,2025-03-07,179.8
295,30,16,3,2025-03-28,134.7
296,26,4,4,2025-01-20,799.6
297,5,8,4,2025-05-23,119.6
298,12,3,4,2025-01-04,159.6
299,9,18,1,2025-04-27,69.9
300,12,9,5,2025-04-08,449.5
